"loan_date","est_yield","est_loss","est_return","rating","year"
2011-12-21,0.1495,0.0595,0.09,"B","2011"
2011-11-07,0.1669,0.0595,0.1074,"B","2011"
2011-06-27,0.2452,0.13,0.1152,"E","2011"
2011-05-27,0.2437,0.112,0.1317,"D","2011"
2011-03-16,0.2957,0.147,0.1487,"E","2011"
2011-02-24,0.0983,0.0495,0.0488,"B","2011"
2011-11-18,0.2917,0.165,0.1267,"HR","2011"
2011-08-31,0.2534,0.112,0.1414,"D","2011"
2011-11-18,0.1493,0.052,0.0973,"B","2011"
2011-05-26,0.2957,0.147,0.1487,"E","2011"
2011-12-20,0.2837,0.149,0.1347,"E","2011"
2011-10-24,0.2437,0.112,0.1317,"D","2011"
2011-12-22,0.1495,0.0595,0.09,"B","2011"
2011-09-30,0.2917,0.165,0.1267,"HR","2011"
2011-10-17,0.2909,0.147,0.1439,"E","2011"
2011-06-22,0.2957,0.147,0.1487,"E","2011"
2011-05-12,0.2957,0.147,0.1487,"E","2011"
2011-09-07,0.1285,0.038,0.0905,"A","2011"
2011-10-11,0.2534,0.112,0.1414,"D","2011"
2011-11-30,0.2437,0.112,0.1317,"D","2011"
2011-07-12,0.2534,0.112,0.1414,"D","2011"
2011-05-18,0.2048,0.1,0.1048,"D","2011"
2011-02-16,0.2534,0.108,0.1454,"D","2011"
2011-09-27,0.1285,0.038,0.0905,"A","2011"
2011-03-07,0.2437,0.108,0.1357,"D","2011"
2011-12-22,0.1758,0.107,0.0688,"D","2011"
2011-07-06,0.234,0.112,0.122,"D","2011"
2011-05-18,0.2671,0.13,0.1371,"E","2011"
2011-10-07,0.2848,0.17,0.1148,"HR","2011"
2011-06-14,0.2957,0.147,0.1487,"E","2011"
2011-07-20,0.2534,0.112,0.1414,"D","2011"
2011-11-14,0.1007,0.02,0.0807,"A","2011"
2011-03-18,0.2957,0.147,0.1487,"E","2011"
2011-05-26,0.1669,0.0595,0.1074,"B","2011"
2011-05-04,0.2957,0.147,0.1487,"E","2011"
2011-10-28,0.2437,0.112,0.1317,"D","2011"
2011-11-23,0.1483,0.052,0.0963,"B","2011"
2011-03-29,0.2437,0.108,0.1357,"D","2011"
2011-09-07,0.1669,0.0595,0.1074,"B","2011"
2011-12-12,0.285,0.165,0.12,"HR","2011"
2011-03-22,0.1806,0.087,0.0936,"C","2011"
2011-03-18,0.2957,0.147,0.1487,"E","2011"
2011-07-25,0.2534,0.112,0.1414,"D","2011"
2011-10-31,0.2437,0.112,0.1317,"D","2011"
2011-05-18,0.2957,0.147,0.1487,"E","2011"
2011-10-12,0.2413,0.105,0.1363,"D","2011"
2011-12-22,0.2352,0.112,0.1232,"D","2011"
2011-03-28,0.2437,0.108,0.1357,"D","2011"
2011-12-21,0.2015,0.0595,0.142,"B","2011"
2011-09-19,0.1669,0.0595,0.1074,"B","2011"
2011-01-31,0.2957,0.147,0.1487,"E","2011"
2011-09-30,0.1026,0.026,0.0766,"A","2011"
2011-08-16,0.2957,0.147,0.1487,"E","2011"
2011-01-11,0.2778,0.108,0.1698,"D","2011"
2011-12-29,0.0872,0.02,0.0672,"A","2011"
2011-10-06,0.2848,0.17,0.1148,"HR","2011"
2011-09-29,0.2861,0.13,0.1561,"E","2011"
2011-07-26,0.2534,0.112,0.1414,"D","2011"
2011-11-03,0.2917,0.165,0.1267,"HR","2011"
2011-07-29,0.0699,0.01,0.0599,"AA","2011"
2011-07-08,0.1385,0.038,0.1005,"A","2011"
