"loan_date","est_yield","est_loss","est_return","rating","year"
2014-03-03,0.0796,0.0249,0.0547,"A","2014"
2014-01-07,0.1264,0.0524,0.074,"B","2014"
2014-01-16,0.109,0.0399,0.0691,"A","2014"
2014-01-22,0.1121,0.0424,0.0697,"B","2014"
2014-02-27,0.1681,0.0899,0.0782,"C","2014"
2014-01-29,0.15163,0.0724,0.07923,"C","2014"
2014-03-07,0.14089,0.0674,0.07349,"C","2014"
2014-01-29,0.09989,0.0349,0.06499,"A","2014"
2014-01-22,0.20961,0.1175,0.09211,"D","2014"
2014-01-06,0.16463,0.0824,0.08223,"C","2014"
2014-02-05,0.16717,0.0849,0.08227,"C","2014"
2014-02-05,0.08619,0.0274,0.05879,"A","2014"
2014-01-28,0.11932,0.0474,0.07192,"B","2014"
2014-01-14,0.14559,0.0674,0.07819,"C","2014"
2014-02-11,0.09628,0.0324,0.06388,"A","2014"
2014-01-08,0.15767,0.0774,0.08027,"C","2014"
2014-01-06,0.15163,0.0724,0.07923,"C","2014"
2014-02-27,0.21912,0.1275,0.09162,"E","2014"
2014-02-14,0.06919,0.0199,0.04929,"AA","2014"
2014-02-04,0.1264,0.0524,0.074,"B","2014"
2014-02-07,0.15767,0.0774,0.08027,"C","2014"
2014-03-06,0.09531,0.0324,0.06291,"A","2014"
2014-01-07,0.17019,0.0874,0.08279,"C","2014"
2014-01-16,0.25006,0.1475,0.10256,"E","2014"
2014-01-03,0.13953,0.0624,0.07713,"C","2014"
2014-02-19,0.07582,0.0224,0.05342,"A","2014"
2014-01-27,0.05501,0.0124,0.04261,"AA","2014"
2014-02-20,0.14256,0.0649,0.07766,"C","2014"
2014-01-15,0.09628,0.0324,0.06388,"A","2014"
2014-02-12,0.16717,0.0849,0.08227,"C","2014"
2014-01-31,0.06919,0.0199,0.04929,"AA","2014"
2014-01-23,0.25006,0.1475,0.10256,"E","2014"
2014-02-05,0.13203,0.0574,0.07463,"B","2014"
2014-02-20,0.09989,0.0349,0.06499,"A","2014"
