"loan_date","est_yield","est_loss","est_return","rating","year"
2012-11-01,0.0849,0.0249,0.06,"A","2012"
2012-05-17,0.2332,0.089,0.1442,"C","2012"
2012-04-19,0.2896,0.165,0.1246,"HR","2012"
2012-02-07,0.0897,0.038,0.0517,"A","2012"
2012-09-27,0.2896,0.1625,0.1271,"HR","2012"
2012-06-06,0.195,0.0565,0.1385,"B","2012"
2012-08-31,0.1721,0.0449,0.1272,"B","2012"
2012-01-20,0.2392,0.119,0.1202,"D","2012"
2012-11-15,0.2799,0.1625,0.1174,"HR","2012"
2012-12-04,0.0886,0.0124,0.0762,"AA","2012"
2012-06-08,0.2727,0.147,0.1257,"E","2012"
2012-06-01,0.2766,0.149,0.1276,"E","2012"
2012-06-12,0.1639,0.0565,0.1074,"B","2012"
2012-06-13,0.2332,0.089,0.1442,"C","2012"
2012-03-05,0.2896,0.165,0.1246,"HR","2012"
2012-08-15,0.1988,0.0599,0.1389,"B","2012"
2012-11-07,0.1714,0.0749,0.0965,"C","2012"
2012-04-19,0.2134,0.099,0.1144,"D","2012"
2012-04-23,0.2896,0.165,0.1246,"HR","2012"
2012-03-22,0.2294,0.119,0.1104,"D","2012"
2012-04-17,0.2896,0.165,0.1246,"HR","2012"
2012-04-25,0.1326,0.0565,0.0761,"B","2012"
2012-08-08,0.1259,0.0249,0.101,"A","2012"
2012-03-21,0.2766,0.149,0.1276,"E","2012"
2012-03-27,0.2766,0.149,0.1276,"E","2012"
2012-10-24,0.219,0.1125,0.1065,"D","2012"
2012-08-28,0.2412,0.0925,0.1487,"D","2012"
2012-04-30,0.17,0.042,0.128,"B","2012"
2012-09-14,0.2896,0.1625,0.1271,"HR","2012"
2012-11-28,0.0701,0.0149,0.0552,"AA","2012"
2012-04-17,0.234,0.119,0.115,"D","2012"
2012-05-14,0.1346,0.042,0.0926,"B","2012"
2012-05-02,0.2,0.089,0.111,"C","2012"
2012-11-20,0.0956,0.0299,0.0657,"A","2012"
2012-02-16,0.2896,0.165,0.1246,"HR","2012"
2012-10-29,0.1205,0.0299,0.0906,"A","2012"
2012-02-13,0.2312,0.089,0.1422,"C","2012"
2012-06-05,0.195,0.0565,0.1385,"B","2012"
2012-04-12,0.2896,0.165,0.1246,"HR","2012"
2012-10-31,0.1714,0.0749,0.0965,"C","2012"
2012-12-18,0.2064,0.1025,0.1039,"D","2012"
2012-03-13,0.0797,0.02,0.0597,"A","2012"
2012-05-29,0.234,0.119,0.115,"D","2012"
2012-07-06,0.0716,0.033,0.0386,"A","2012"
2012-05-16,0.2727,0.147,0.1257,"E","2012"
2012-12-20,0.0905,0.0274,0.0631,"A","2012"
2012-07-03,0.2896,0.165,0.1246,"HR","2012"
2012-06-01,0.2896,0.165,0.1246,"HR","2012"
2012-10-12,0.2064,0.1025,0.1039,"D","2012"
2012-08-22,0.2412,0.0925,0.1487,"D","2012"
2012-11-20,0.2206,0.0925,0.1281,"D","2012"
2012-09-05,0.1259,0.0249,0.101,"A","2012"
2012-08-30,0.2896,0.1675,0.1221,"HR","2012"
2012-01-25,0.2392,0.119,0.1202,"D","2012"
2012-04-12,0.1733,0.065,0.1083,"C","2012"
2012-08-08,0.2614,0.1375,0.1239,"E","2012"
2012-02-27,0.1326,0.0565,0.0761,"B","2012"
2012-03-12,0.2134,0.099,0.1144,"D","2012"
2012-06-29,0.2134,0.099,0.1144,"D","2012"
2012-09-25,0.2896,0.1625,0.1271,"HR","2012"
2012-08-28,0.2896,0.1625,0.1271,"HR","2012"
2012-06-21,0.0862,0.02,0.0662,"A","2012"
